"ref_area.label","source.label","indicator.label","sex.label","classif1.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Canada","LFS - Labour Force Survey","Employees by sex and age (thousands)","Sex: Female","Age (Aggregate bands): Total","1981",4152.008,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Employees by sex and age (thousands)","Sex: Male","Age (Aggregate bands): Total","1980",5664.027,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Employees by sex and age (thousands)","Sex: Female","Age (Aggregate bands): Total","1980",3956.465,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Employees by sex and age (thousands)","Sex: Male","Age (Aggregate bands): Total","1979",5584.114,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Employees by sex and age (thousands)","Sex: Female","Age (Aggregate bands): Total","1979",3759.807,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Employees by sex and age (thousands)","Sex: Male","Age (Aggregate bands): Total","1978",5405.757,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Employees by sex and age (thousands)","Sex: Female","Age (Aggregate bands): Total","1978",3551.168,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Employees by sex and age (thousands)","Sex: Male","Age (Aggregate bands): Total","1977",5307.425,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Employees by sex and age (thousands)","Sex: Female","Age (Aggregate bands): Total","1977",3399.456,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Employees by sex and age (thousands)","Sex: Male","Age (Aggregate bands): Total","1976",5255.887,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
